Command	Sensor Right	Sensor Left	All	Close	Open	Open	Close	Offset					Motor Right	Motor Left
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0.5	0.5
1	0	0	0	0	0	0	0	1	0	0	0	0	0.5	0.5
1	0	0	1	0	0	0	0	1	0	0	0	0	0.5	0.5
1	0	0	1.2	0.5	0	0	0.5	1	0	0	0	0	0.5	0.5
1	0	0	1.24	0.6	0	0	0.6	1	0	0.2	0	0.2	0.5	0.5
1	0	0	1.248	0.62	0	0	0.62	1	0	0.26	0	0.26	0.55	0.55
1	0	0	1.2496	0.624	0	0	0.624	1	0	0.274	0	0.274	0.565	0.565
1	0	0	1.24992	0.6248	0	0	0.6248	1	0	0.277	0	0.277	0.5685	0.5685
1	0	0	1.249984	0.62496	0	0	0.62496	1	0	0.27762	0	0.27762	0.56925	0.56925
1	0	0	1.249997	0.624992	0	0	0.624992	1	0	0.277746	0	0.277746	0.569405	0.569405
1	0	0	1.249999	0.624998	0	0	0.624998	1	0	0.277771	0	0.277771	0.569437	0.569437
1	0	0	1.25	0.625	0	0	0.625	1	0	0.277776	0	0.277776	0.569443	0.569443
